name,lat,lng
Westgate,1.334599257,103.7429445
Jurong Point,1.339452004,103.706685
Pioneer Mall,1.341673319,103.6972445
The Star Vista,1.306815007,103.7884627
Alexandra Central,1.287283209,103.8052834
Anchorpoint,1.28893478,103.8056078
OD Mall,1.337976221,103.7934954
Boon Lay Shopping Centre,1.346373764,103.7124728
Grantral Mall,1.314270439,103.7651475
Fairprice Hub,1.353495936,103.9401394
Gek Poh Shopping Centre,1.348741647,103.6977396
Rochester Mall,1.305407656,103.7884467
Taman Jurong Shopping Centre,1.334844875,103.720462
West Coast Plaza,1.303586225,103.7661038
Queensway Shopping Centre,1.287617926,103.8033911
